case_id,changed_voxels_vs_standard_nnunet,dice_delta_vs_standard_nnunet,help_harm,pathology,seed,variant,evidence_source
Case1053,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,1084,-0.3879698372603053,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,8935,-0.24191261390494712,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,5564,-0.313189596017459,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,1811,-0.19044579953063084,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,1729,-0.5323675117605429,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,2254,-0.05918708122275801,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,1081,-0.3062194587682825,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,1228,-0.11230442130513002,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,842,-0.20480239894382785,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,1511,-0.0530176222350387,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,879,-0.2752363282975528,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,1728,-0.11782691207036777,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,806,-0.08199582238393643,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,714,-0.20427131217999028,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,301,-0.04532315093278938,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,949,-0.29880478087649404,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,1037,-0.8013937282229965,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,1156,-0.04577872072299338,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,598,-0.06135281498927403,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,1693,-0.30672967719647043,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,1976,-0.21586150165988954,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,1467,-0.240101201771031,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,1715,-0.21636632355229884,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,2591,-0.34193291756746436,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,2459,-0.4872810892018044,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,2126,-0.14705232417129638,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,2530,-0.3118151684491888,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,4723,-0.21227861992666017,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,3803,-0.3482050766993078,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,1889,-0.17254923763066765,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,1445,-0.08543214695801682,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,4234,-0.16778761061946904,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,8057,-0.6493339212414188,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,3866,-0.19161920149712489,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,2791,-0.3329240535216159,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,3102,-0.12193616054905251,harm_or_neutral,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,6236,-0.5233244806019699,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,2643,-0.558145764178498,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,1436,-0.41801917368483027,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,956,-0.4750801649909848,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,36,0.0,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,1693,-0.4524671564540113,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,190,-0.21960210432720806,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,799,-0.1902537231932575,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,490,-0.1546004971861703,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,480,0.0,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,997,-0.40068223945571196,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,0,,identity,edema,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,1049,-0.07258217249595517,harm_or_neutral,scar,20260723,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,1343,-0.6167400881057269,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,4409,-0.5810928013876843,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,4024,-0.6048804535370964,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,1911,-0.48279378027020137,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,1452,-0.5699192044748291,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,2504,-0.6466011466011466,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,4927,-0.16436865021770683,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,5860,-0.671361030077457,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,2906,-0.4280078895463511,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,924,-0.7573770491803279,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,438,-0.09968847352024922,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,4090,-0.6283120251991847,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,758,-0.5196241017136539,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,9323,-0.5070823546159869,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,5270,-0.5004500450045004,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,1677,-0.4282765737874097,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,1442,-0.6369426751592356,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,2702,-0.5376005596362364,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,1076,-0.5602700096432015,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,1190,-0.5701357466063348,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,820,-0.4898728214790391,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,1171,-0.3485546711353163,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,1042,-0.7531584062196307,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,2265,-0.6796246648793566,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,1230,-0.5470588235294118,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,950,-0.5630676084762866,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,173,-0.4196185286103542,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,195,-0.29880478087649404,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,858,-0.8013937282229965,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,1813,-0.523033309709426,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,1125,-0.7208988764044943,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,1743,-0.4530451866404715,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,2742,-0.6247040252565115,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,1337,-0.26666666666666666,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,2455,-0.6389535925461387,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,1930,-0.45068083693125205,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,2514,-0.8267066766691673,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,881,-0.16291793313069908,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,2635,-0.6612691466083152,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,1402,-0.21919504643962848,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,3232,-0.8081740276862228,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,1720,-0.6546035125066525,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,3545,-0.8293831423638361,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,4065,-0.16778761061946904,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,7687,-0.75830144426614,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,1402,-0.24913093858632676,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,2280,-0.8691367757193535,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,1892,-0.16612529002320187,harm_or_neutral,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,4022,-0.7844537386514332,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,2641,-0.5725747629467542,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,1298,-0.44598337950138506,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,938,-0.49259110933119743,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,35,,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,2045,-0.7172976649285876,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,135,-0.22406639004149378,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,1096,-0.46925795053003533,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,665,-0.6588021778584392,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,0,0.0,identity,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,1231,-0.6748560460652591,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,0,,identity,edema,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,1162,-0.45514445007602633,harm_or_neutral,scar,20260723,student_moddrop_control,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,14799,-0.39820726957290836,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,14830,-0.3669635049961771,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,14583,-0.26719281239110165,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,9272,-0.31330525974897094,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,11068,-0.34576911278347633,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,6136,-0.4660526448235946,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,10769,-0.10373000921136342,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,13942,-0.5092357740412085,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,7253,-0.17109828002535177,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,8496,-0.5843820859877669,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
