case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case1070,CenterA,scar,nnunet_oof,0.5004500450045004,0.402416918429003,0.5004500450045004,0.43245452687512775,0.9154228855721394,0.06781013163143199,0.3127243717590746
Case1070,CenterA,lesion_union,nnunet_oof,0.5004500450045004,0.09348922308001249,0.5004500450045004,0.10285985830309315,0.9742225859247136,0.17351416035101716,0.11408057439170323
Case1073,CenterA,scar,nnunet_oof,0.4282765737874097,0.11658653846153846,0.4282765737874097,0.3037531806615776,0.605580215599239,0.056844020009095046,0.3019554342883129
Case1073,CenterA,lesion_union,nnunet_oof,0.4282765737874097,0.12659045404637345,0.4282765737874097,0.18214936247723132,0.8110300081103001,0.3046839472487494,0.23647112323783537
Case1080,CenterA,scar,nnunet_oof,0.6369426751592356,0.1005765534913517,0.6369426751592356,0.42344388914129943,0.8048359240069085,0.023121387283236993,0.559971098265896
Case1080,CenterA,lesion_union,nnunet_oof,0.6369426751592356,0.07381254482264026,0.6369426751592356,0.11838697743248243,0.8945686900958466,0.15895953757225434,0.3258670520231214
Case2002,CenterB,scar,mosaic_clean_oof,0.5602700096432015,0.7485981308411215,0.7485981308411215,0.6650406504065041,0.9008810572687225,0.2374749498997996,0.017034068136272545
Case2002,CenterB,pure_edema,nnunet_oof,0.5376005596362364,0.44604893702366627,0.5376005596362364,0.4987501487918105,0.8198004304441401,0.18501326259946949,0.14157824933687002
Case2002,CenterB,lesion_union,nnunet_oof,0.6753080082135524,0.5788543507641127,0.6753080082135524,0.606638761802784,0.8740532959326788,0.12082710513203787,0.08271051320378675
Case2007,CenterB,scar,mosaic_clean_oof,0.4898728214790391,0.5997541990987301,0.5997541990987301,0.636296840558413,0.7985246657445828,0.26554105909439757,0.10283960092095165
