case_id,fold,role,t2_present,care_scar_dice,nnunet_scar_dice,care_scar_hd95,nnunet_scar_hd95,care_scar_sensitivity,nnunet_scar_sensitivity,care_scar_precision,nnunet_scar_precision,care_pure_edema_dice,nnunet_pure_edema_dice,care_pure_edema_hd95,nnunet_pure_edema_hd95,care_pure_edema_sensitivity,nnunet_pure_edema_sensitivity,care_pure_edema_precision,nnunet_pure_edema_precision
Case3030,1,outer,True,0.7191044336426572,0.7405239488899993,3.884018770119504,3.80859375,0.5994597249508841,0.6369106090373281,0.8984173721015827,0.8843989769820972,0.3678656041352574,0.3733946712670117,26.26549399738672,25.999057752701738,0.28045977011494255,0.3198686371100164,0.5344180225281602,0.44843462246777166
Case3033,1,outer,True,0.766567979959007,0.7600271923861319,3.6453333497047424,3.6453333497047424,0.6805499393449251,0.6781237363526081,0.8774765380604796,0.8644329896907217,0.14104141041410415,0.16459041147602868,20.22551748322985,21.040841627096604,0.1358609794628752,0.1721958925750395,0.1466325660699062,0.1576283441793203
Case3041,1,outer,True,0.7815942968243681,0.7857825948358305,4.251735872508637,4.387069655206638,0.644402885386054,0.6585626502805236,0.993001235076163,0.9739233504543658,0.3825708061002179,0.35903712770297835,92.09241274940915,114.99999046325684,0.5270108043217286,0.5282112845138055,0.3002735978112175,0.2719406674907293
Case5007,1,outer,False,0.0,0.0,1000000.0,1000000.0,,,0.0,0.0,,,,,,,,
Case5010,1,outer,False,0.184,0.186401833460657,34.19516438272233,40.11665499890016,0.2875,0.38125,0.13529411764705881,0.12335692618806876,,,,,,,,
Case6004,1,outer,False,0.35823170731707316,0.3832570307390451,50.186572074625325,60.01946731367179,0.26286353467561524,0.3277404921700224,0.562200956937799,0.46141732283464565,,,,,,,,
Case6006,1,outer,False,0.2940790091019987,0.21949370926178566,79.78192921872858,57.05326704316699,0.46415876777251186,0.21445497630331753,0.21521768987776405,0.22477491462278795,,,,,,,,
Case7004,1,outer,False,0.6998198198198198,0.7306967984934086,6.5625,6.5625,0.5783204288266826,0.6932698034544371,0.8859489051094891,0.7723954877239548,,,,,,,,
Case8004,1,outer,False,0.48069059518400725,0.5928822839264764,35.62958370823132,35.62958370823132,0.329595015576324,0.4722741433021807,0.8875838926174496,0.7962184873949579,,,,,,,,
Case8006,1,outer,False,0.4806348006801436,0.5661764705882353,23.44703098526402,15.647845254585421,0.359626802374894,0.5007068136839129,0.724373576309795,0.6513424052960647,,,,,,,,
Case8008,1,outer,False,0.4164554494053422,0.45645543883429346,42.302848465118494,39.62532038514011,0.30911722141823444,0.3898697539797395,0.6379928315412187,0.5504699632202698,,,,,,,,
Case8013,1,outer,False,0.6612377850162866,0.7293850949277416,5.9375,4.453125,0.5433618843683083,0.6889721627408993,0.8444259567387687,0.7748344370860927,,,,,,,,
Case8016,1,outer,False,0.2035426731078905,0.34859675036927623,32.682235581194185,26.71875,0.11330225887414844,0.21154535675869487,1.0,0.9899328859060402,,,,,,,,
Case8024,1,outer,False,0.5959110042092604,0.6530501089324618,7.510064254293561,4.694005901812438,0.46679227508243054,0.5647668393782384,0.8237738985868661,0.7740477727566172,,,,,,,,
Case8029,1,outer,False,0.019880715705765408,0.06993006993006994,43.61401488716334,28.744696067997488,0.010040160642570281,0.03681392235609103,1.0,0.6962025316455697,,,,,,,,
