case_id,alignment_mode,t2_present,t2_offset_max_abs,c0_offset_max_abs,t2_confidence_mean,c0_confidence_mean
Case2007,identity,True,0.0,0.0,0.0,0.0
Case2008,enabled,True,3.104248523712158,2.669085741043091,0.58760005235672,0.6208281517028809
Case2008,identity,True,0.0,0.0,0.0,0.0
Case2017,enabled,True,3.9519731998443604,3.3033852577209473,0.5167142748832703,0.6680367588996887
Case2017,identity,True,0.0,0.0,0.0,0.0
Case2020,enabled,True,3.768284320831299,3.106234312057495,0.49452656507492065,0.5851078033447266
Case2020,identity,True,0.0,0.0,0.0,0.0
Case2031,enabled,True,3.3856401443481445,2.702981948852539,0.552874743938446,0.6233711242675781
Case2031,identity,True,0.0,0.0,0.0,0.0
Case2033,enabled,True,3.296873092651367,2.8100075721740723,0.5511373281478882,0.6090818643569946
Case2033,identity,True,0.0,0.0,0.0,0.0
Case3004,enabled,True,3.494906425476074,2.6478188037872314,0.565416693687439,0.7007759809494019
Case3004,identity,True,0.0,0.0,0.0,0.0
Case3011,enabled,True,3.1595988273620605,2.5157570838928223,0.5311129093170166,0.5677157640457153
Case3011,identity,True,0.0,0.0,0.0,0.0
Case3012,enabled,True,3.035733699798584,2.9500794410705566,0.6004744172096252,0.6748087406158447
Case3012,identity,True,0.0,0.0,0.0,0.0
Case3023,enabled,True,3.288403272628784,2.800626039505005,0.5843805074691772,0.6456369757652283
Case3023,identity,True,0.0,0.0,0.0,0.0
Case3026,enabled,True,3.4958226680755615,3.0928449630737305,0.5026596784591675,0.633049488067627
Case3026,identity,True,0.0,0.0,0.0,0.0
Case3034,enabled,True,3.579299211502075,3.1174964904785156,0.5804427862167358,0.6572524309158325
Case3034,identity,True,0.0,0.0,0.0,0.0
Case3038,enabled,True,3.789332389831543,2.9882450103759766,0.5207206010818481,0.607218861579895
Case3038,identity,True,0.0,0.0,0.0,0.0
Case3040,enabled,True,3.2931127548217773,2.8504319190979004,0.5634812712669373,0.6391887664794922
Case3040,identity,True,0.0,0.0,0.0,0.0
Case3044,enabled,True,3.4700868129730225,2.655302047729492,0.5559948682785034,0.6360650062561035
Case3044,identity,True,0.0,0.0,0.0,0.0
Case5005,enabled,False,1.886451244354248,2.854159116744995,0.0,0.7546836733818054
Case5005,identity,False,0.0,0.0,0.0,0.0
Case6001,enabled,False,1.977175235748291,2.897122383117676,0.0,0.7344734072685242
Case6001,identity,False,0.0,0.0,0.0,0.0
Case6010,enabled,False,2.4358465671539307,3.312758445739746,0.0,0.7026541829109192
Case6010,identity,False,0.0,0.0,0.0,0.0
Case7005,enabled,False,3.041147470474243,3.3738038539886475,0.0,0.5557778477668762
Case7005,identity,False,0.0,0.0,0.0,0.0
Case8003,enabled,False,2.589529037475586,2.918372869491577,0.0,0.0
Case8003,identity,False,0.0,0.0,0.0,0.0
Case8011,enabled,False,2.429088592529297,2.992321252822876,0.0,0.0
Case8011,identity,False,0.0,0.0,0.0,0.0
Case8015,enabled,False,2.254112720489502,2.4481382369995117,0.0,0.0
Case8015,identity,False,0.0,0.0,0.0,0.0
Case8019,enabled,False,2.5107412338256836,3.254976749420166,0.0,0.0
Case8019,identity,False,0.0,0.0,0.0,0.0
Case8021,enabled,False,2.286133289337158,2.481520175933838,0.0,0.0
Case8021,identity,False,0.0,0.0,0.0,0.0
Case8022,enabled,False,2.2969369888305664,3.0234732627868652,0.0,0.0
Case8022,identity,False,0.0,0.0,0.0,0.0
Case8023,enabled,False,2.912022113800049,2.956796169281006,0.0,0.0
Case8023,identity,False,0.0,0.0,0.0,0.0
