variant,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,proposal_outside_union_fp_voxels,proposal_gate_mean,proposal_gate_p95,uncertainty_mean,local_anatomy_confidence_mean
srr_v2_light_refine_lowmix,Case6010,CenterF,C0+LGE,False,5,myops_scar,0.5,0.0,,0,1559,0,0,0,0,2.263538426925402e-15,8.170072386367352e-15,0.0,0.00596069497987628
srr_v2_light_refine_lowmix,Case7005,CenterG,C0+LGE,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.2842938857033671e-14,6.364705515556589e-15,0.0,0.0260743610560894
srr_v2_light_refine_lowmix,Case7005,CenterG,C0+LGE,False,5,myops_scar,0.5,,,0,0,0,0,0,0,5.762619250055181e-14,8.536839177187769e-14,0.0,0.0260743610560894
srr_v2_light_refine_lowmix,Case8003,CenterH,LGE-only,False,4,myops_edema,0.5,,0.0,4,0,1,1,1,4,1.220827743964037e-05,1.2579786812239035e-07,6.696680429740809e-06,0.016265681013464928
srr_v2_light_refine_lowmix,Case8003,CenterH,LGE-only,False,5,myops_scar,0.5,0.37489433643279796,0.4897846493649917,1811,2366,15,8,9,924,0.0048095486126840115,9.684405813459307e-05,0.0007668170146644115,0.016265681013464928
srr_v2_light_refine_lowmix,Case8011,CenterH,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.654879575388457e-13,5.712842850690014e-14,0.0,0.0072075738571584225
srr_v2_light_refine_lowmix,Case8011,CenterH,LGE-only,False,5,myops_scar,0.5,0.040345821325648415,0.1,140,347,3,2,0,126,0.0003674427280202508,1.5826036661725773e-11,3.889467552653514e-05,0.0072075738571584225
srr_v2_light_refine_lowmix,Case8015,CenterH,LGE-only,False,4,myops_edema,0.5,,0.0,118,0,3,1,3,111,0.00028187865973450243,1.0328294592909515e-06,5.736399907618761e-05,0.010613660328090191
srr_v2_light_refine_lowmix,Case8015,CenterH,LGE-only,False,5,myops_scar,0.5,0.2958477508650519,0.3577405857740586,1434,1734,21,11,8,921,0.0034628415014594793,4.70827990284306e-06,0.00048168498324230313,0.010613660328090191
srr_v2_light_refine_lowmix,Case8019,CenterH,LGE-only,False,4,myops_edema,0.5,,0.0,26,0,1,0,1,26,6.802537245675921e-05,5.800517184628706e-12,4.103853370907018e-06,0.007907246239483356
srr_v2_light_refine_lowmix,Case8019,CenterH,LGE-only,False,5,myops_scar,0.5,0.7437070938215103,0.2631578947368421,1235,437,4,1,1,910,0.0031799052376300097,9.326783583674114e-06,0.0004193337226752192,0.007907246239483356
srr_v2_light_refine_lowmix,Case8021,CenterH,LGE-only,False,4,myops_edema,0.5,,0.0,1,0,1,1,1,1,4.043638000439387e-06,7.129650647641483e-09,1.8658271301319473e-06,0.007841559126973152
srr_v2_light_refine_lowmix,Case8021,CenterH,LGE-only,False,5,myops_scar,0.5,0.5,0.03911342894393742,767,60,13,5,8,737,0.0019625748973339796,1.1002600786014227e-06,0.00038348432281054556,0.007841559126973152
srr_v2_light_refine_lowmix,Case8022,CenterH,LGE-only,False,4,myops_edema,0.5,,0.0,153,0,8,6,8,153,0.00039609576924704015,1.2716312447480504e-08,0.00010321845911676064,0.012254695408046246
srr_v2_light_refine_lowmix,Case8022,CenterH,LGE-only,False,5,myops_scar,0.5,0.5946142649199417,0.41940451745379875,1948,1374,22,11,11,1131,0.005188767332583666,8.430139860138297e-05,0.0007781693711876869,0.012254695408046246
srr_v2_light_refine_lowmix,Case8023,CenterH,LGE-only,False,4,myops_edema,0.5,,0.0,189,0,7,4,7,189,0.0004806272918358445,7.043933436534644e-08,8.899885142454877e-05,0.007363710552453995
srr_v2_light_refine_lowmix,Case8023,CenterH,LGE-only,False,5,myops_scar,0.5,0.6091245376078915,0.3038130381303813,1626,811,7,5,0,1132,0.004177437629550695,1.0032848877017386e-05,0.0004333193937782198,0.007363710552453995
